latitude,longitude,time,call_duration,call_type,respTime
-0.114349754,-1.109452888,-0.661644749,-1.117367752,0,5.25
0.474033474,0.680185222,-0.675051644,3.351840694,0,3.583333333
-0.309176264,-1.994546418,-0.652648592,1.543784856,3,6.85
-1.514687302,-1.290268119,-0.644482177,0.295971671,2,4.794444444
-2.047755499,-0.496354856,-0.595745712,-0.671720186,0,3.177777778
0.75759311,-0.066341247,-0.589806502,-0.633521824,0,3.816666666
-1.194961513,-2.393444281,-0.578845164,-1.117367752,0,5.8
0.709630447,0.201965897,-0.579718577,-0.506193948,0,5.783333333
-0.855755362,0.669791961,-0.577622385,-1.117367752,0,14.51666667
-0.63263811,0.099355803,-0.553559848,0.181376583,0,9.983333333
-2.106617931,1.521179398,-0.536833982,0.155911007,0,10.96666667
0.771819592,1.208380059,-0.531855526,-0.226072621,1,3.966666667
-1.303730928,0.00316082,-0.530894771,1.862104545,0,6.25
-1.629003621,0.147876376,-0.520501152,-0.480728373,0,7.975
0.761752269,-0.002647866,-0.515522696,-0.81178085,0,7.083333333
-1.98355612,-0.277906757,-0.491853195,-0.735384124,0,4.566666667
0.978714508,0.087100507,-0.489189284,-0.773582487,0,1.2
0.4412193,-1.957053003,-0.491984207,0.499696273,0,5.958333333
0.770233294,1.065777425,-0.48242033,-0.646254611,0,3.533333333
-0.330774234,0.614454856,-0.484210828,0.168643795,0,3.608333334
1.060243893,0.396962196,-0.48237666,0.486963485,0,7.641666668
0.80501551,0.219636198,-0.486176008,1.925768483,0,3.6
-0.358203889,-2.96432755,-0.467572304,-1.117367752,0,5.233333334
0.094445668,-0.204267246,-0.45818311,1.887570121,0,3.291666667
0.993314202,-0.337903166,-0.441369903,-0.302469346,0,4.366666667
0.243396769,1.145165203,-0.427963008,0.066781494,0,6.675
0.175574597,-3.308599587,-0.423857965,-0.569857886,0,8.675
0.716977525,0.165306157,-0.416521293,-0.187874258,0,7.766666667
0.885020843,0.139580836,-0.40189162,0.46149791,0,11
0.385754456,0.164189598,-0.377174022,-1.117367752,2,6.241666667
-0.328960431,-0.205064055,-0.377960094,-0.862712,0,3.544444445
0.284859083,-0.826994915,-0.371627847,-1.117367752,0,6.333333333
0.683075189,-0.085556025,-0.360972204,0.295971671,0,11.725
1.296240728,0.418371086,-0.355251347,1.365525829,0,16.1
0.539991175,0.428096713,-0.327433132,-0.136943107,0,8.141666667
0.957721596,0.513407029,-0.321712274,-0.49346116,0,5.541666666
-0.187127118,-0.086136614,-0.306427541,-0.162408683,3,6.177777779
0.170746279,1.258575599,-0.297955431,-0.7608497,0,4.65
0.601983996,0.550533537,-0.296732653,-1.117367752,0,10.7
-1.476413211,-0.3348175,-0.295509874,-0.786315275,3,4.933333334
-2.393314251,1.140182305,-0.294068742,-0.81178085,0,6.333333333
-1.828532885,-0.430206583,-0.29000737,0.104979857,0,8.716666667
-1.824130717,0.397132388,-0.268783426,-0.417064435,0,5.108333334
